wnid     name                        13_classes
1091234  cosmetic.s.01               Objects
14845743 water.n.01                  Objects
14974264 paper.n.01                  Objects
15075141 toilet_tissue.n.01          Objects
15101854 board.n.02                  Furniture
17222    plant.n.02                  Objects
266645   ventilation.n.01            Objects
2676566  acoustic_guitar.n.01        Objects
2686379  air_conditioner.n.01        Objects
2694662  alarm_clock.n.01            Objects
2738535  armchair.n.01               Chair
2747177  ashcan.n.01                 Objects
2773838  bag.n.06                    Objects
2777927  balcony.n.01                Wall
2789487  bar.n.02                    Furniture
2801938  basket.n.01                 Objects
2808440  bathtub.n.01                Objects
2815950  beam.n.02                   Ceiling
2823510  beer_can.n.01               Objects
2828884  bench.n.01                  Chair
2839910  bin.n.01                    Objects
2840245  binder.n.03                 Books
2843684  birdhouse.n.01              Objects
2851099  blind.n.03                  Window
2871439  bookshelf.n.01              Furniture
2876657  bottle.n.01                 Objects
2880940  bowl.n.03                   Objects
2881193  bowl.n.01                   Objects
2883344  box.n.01                    Objects
2920083  bunk.n.03                   Bed
2920259  bunk_bed.n.01               Bed
2933112  cabinet.n.01                Furniture
2942699  camera.n.01                 Objects
2946921  can.n.01                    Objects
2951358  canoe.n.01                  Objects
2954340  cap.n.01                    Objects
2960903  carafe.n.01                 Objects
2964075  card_table.n.02             Table
2990373  ceiling.n.01                Ceiling
2992529  cellular_telephone.n.01     Objects
3001627  chair.n.01                  Chair
3002711  chaise_longue.n.01          Objects
3005285  chandelier.n.01             Objects
3015149  chesterfield.n.02           Sofa
3018349  china_cabinet.n.01          Furniture
3025755  chopstick.n.01              Objects
3046257  clock.n.01                  Wall
3050864  clothes_hamper.n.01         Objects
3063599  coffee_mug.n.01             Objects
3063968  coffee_table.n.01           Table
3071021  cologne.n.02                Objects
3085013  computer_keyboard.n.01      Objects
3085219  computer_monitor.n.01       Objects
3085602  computer_screen.n.01        TV
3092883  console_table.n.01          Table
3115762  couch.n.03                  Sofa
3116530  counter.n.01                Furniture
3128519  cream.n.03                  Objects
3147509  cup.n.01                    Objects
3148324  cupboard.n.01               Furniture
3151077  curtain.n.01                Wall
3165096  daybed.n.01                 Bed
3168217  deck_chair.n.01             Chair
3169390  decoration.n.01             Objects
3179701  desk.n.01                   Table
3179910  desk_phone.n.01             Objects
3206908  dish.n.01                   Objects
